region,subject
Центральный,Белгородская область
Центральный,Брянская область
Центральный,Владимирская область
Центральный,Воронежская область
Центральный,Ивановская область
Центральный,Калужская область
Центральный,Костромская область
Центральный,Курская область
Центральный,Липецкая область
Центральный,Московская область
Центральный,Орловская область
Центральный,Рязанская область
Центральный,Смоленская область
Центральный,Тамбовская область
Центральный,Тверская область
Центральный,Тульская область
Центральный,Ярославская область
Центральный,г.Москва
Северо-Западный,Республика Карелия
Северо-Западный,Республика Коми
Северо-Западный,Архангельская область
Северо-Западный,Вологодская область
Северо-Западный,Калининградская область
Северо-Западный,Ленинградская область
Северо-Западный,Мурманская область
Северо-Западный,Новгородская область
Северо-Западный,Псковская область
Северо-Западный,г.Санкт-Петербург
Южный,Республика Адыгея
Южный,Республика Калмыкия
Южный,Республика Крым
Южный,Краснодарский край
Южный,Астраханская область
Южный,Волгоградская область
Южный,Ростовская область
Южный,Ставропольский край
Южный,г.Севастополь
Северный Кавказский,Республика Дагестан
Северный Кавказский,Республика Ингушетия
Северный Кавказский,Кабардино-Балкарская Республика
Северный Кавказский,Карачаево-Черкесская Республика
Северный Кавказский,Республика Северная  Осетия - Алания
Северный Кавказский,Чеченская Республика
Приволжский,Республика Башкортостан
Приволжский,Республика Марий Эл
Приволжский,Республика Мордовия
Приволжский,Республика Татарстан
Приволжский,Удмуртская Республика
Приволжский,Чувашская Республика
Приволжский,Пермский край
Приволжский,Кировская область
Приволжский,Нижегородская область
Приволжский,Оренбургская область
Приволжский,Пензенская область
Приволжский,Самарская область
Приволжский,Саратовская область
Приволжский,Ульяновская область
Уральский,Курганская область
Уральский,Свердловская область
Уральский,Тюменская область
Уральский,Челябинская область
Сибирский,Республика Алтай
Сибирский,Республика Бурятия
Сибирский,Республика Тыва
Сибирский,Республика Хакасия
Сибирский,Алтайский край
Сибирский,Забайкальский край
Сибирский,Красноярский край
Сибирский,Иркутская область
Сибирский,Кемеровская область
Сибирский,Новосибирская область
Сибирский,Омская область
Сибирский,Томская область
Дальневосточный,Республика Саха (Якутия)
Дальневосточный,Камчатский край
Дальневосточный,Приморский край
Дальневосточный,Хабаровский край
Дальневосточный,Амурская область
Дальневосточный,Магаданская область
Дальневосточный,Сахалинская область
Дальневосточный,Еврейская авт.область
Дальневосточный,Чукотский авт.округ
